county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"Autauga County, Alabama",55869,594,93.99,20.90,24571,76.70,12.10,51.40,15.60,Donald Trump
"Baldwin County, Alabama",223234,1590,140.42,27.70,26766,87.30,13.90,51.50,20.40,Donald Trump
"Barbour County, Alabama",24686,885,27.90,13.40,16829,49.10,26.70,47.20,19.40,Donald Trump
"Bibb County, Alabama",22394,623,35.97,12.10,17427,76.80,18.10,46.80,16.50,Donald Trump
"Blount County, Alabama",57826,645,89.68,12.10,20730,95.90,15.80,50.70,18.20,Donald Trump
"Bullock County, Alabama",10101,623,16.22,12.50,18628,26.20,21.60,45.50,16.40,Joe Biden
"Butler County, Alabama",19448,777,25.04,14.00,17403,52.30,28.40,53.40,20.30,Donald Trump
"Calhoun County, Alabama",113605,606,187.51,16.10,20828,75.30,21.90,51.90,17.70,Donald Trump
"Chambers County, Alabama",33254,597,55.75,11.80,19291,57.10,24.10,52.10,19.50,Donald Trump
"Cherokee County, Alabama",26196,554,47.31,12.80,22030,93.00,21.20,50.50,23.00,Donald Trump
"Chilton County, Alabama",44428,693,64.12,12.90,20701,87.10,19.50,50.90,16.80,Donald Trump
"Choctaw County, Alabama",12589,914,13.78,11.80,20323,57.20,21.50,52.70,23.00,Donald Trump
"Clarke County, Alabama",23622,1238,19.07,11.20,18979,53.40,29.30,52.60,19.90,Donald Trump
"Clay County, Alabama",13235,604,21.91,9.20,18694,83.20,19.00,51.10,20.70,Donald Trump
"Cleburne County, Alabama",14910,560,26.62,9.00,19108,95.00,18.40,50.50,19.50,Donald Trump
"Coffee County, Alabama",52342,679,77.09,22.50,23380,75.80,18.60,50.80,17.00,Donald Trump
"Colbert County, Alabama",55241,593,93.21,17.70,21572,80.60,17.90,52.00,19.90,Donald Trump
"Conecuh County, Alabama",12067,850,14.19,8.80,15605,51.60,32.70,52.10,22.50,Donald Trump
"Coosa County, Alabama",10663,651,16.38,9.80,18493,66.90,20.90,49.60,23.20,Donald Trump
"Covington County, Alabama",37049,1030,35.95,14.20,20391,84.50,20.00,51.60,21.10,Donald Trump
"Crenshaw County, Alabama",13772,609,22.62,12.70,21343,72.80,19.10,51.70,19.00,Donald Trump
"Cullman County, Alabama",83768,735,113.99,14.80,20760,95.90,18.80,50.60,18.50,Donald Trump
"Dale County, Alabama",49172,561,87.63,17.00,22685,73.80,17.40,50.90,16.90,Donald Trump
"Dallas County, Alabama",37196,979,38.01,14.20,17245,27.70,35.50,53.80,18.10,Joe Biden
"DeKalb County, Alabama",71513,777,92.03,10.70,18149,92.70,19.90,50.40,17.30,Donald Trump
"Elmore County, Alabama",81209,618,131.30,21.00,23856,75.50,13.40,51.70,15.10,Donald Trump
"Escambia County, Alabama",36633,945,38.76,11.70,16540,62.00,25.40,49.30,17.90,Donald Trump
"Etowah County, Alabama",102268,535,191.16,14.80,20204,80.80,19.00,51.60,19.00,Donald Trump
"Fayette County, Alabama",16302,628,25.97,13.20,18494,85.70,19.90,51.20,21.10,Donald Trump
"Franklin County, Alabama",31362,634,49.48,11.00,18888,91.60,21.90,49.50,16.90,Donald Trump
"Geneva County, Alabama",26271,574,45.74,10.40,20199,87.20,21.20,51.20,20.30,Donald Trump
"Greene County, Alabama",8111,647,12.53,12.80,14930,18.50,32.90,52.80,22.30,Joe Biden
"Hale County, Alabama",14651,644,22.75,12.80,18812,40.70,26.60,52.40,19.20,Joe Biden
"Henry County, Alabama",17205,562,30.63,16.60,21924,71.40,14.40,51.80,22.70,Donald Trump
"Houston County, Alabama",105882,580,182.61,19.70,23316,69.10,18.00,52.00,17.80,Donald Trump
"Jackson County, Alabama",51626,1078,47.90,13.00,20486,91.30,16.00,50.90,20.00,Donald Trump
"Jefferson County, Alabama",658573,1111,592.63,30.00,26906,53.20,18.00,52.70,15.90,Joe Biden
"Lamar County, Alabama",13805,605,22.82,9.50,19026,87.30,22.30,51.10,21.70,Donald Trump
"Lauderdale County, Alabama",92729,668,138.88,21.10,23510,87.00,17.20,52.00,20.10,Donald Trump
"Lawrence County, Alabama",32924,691,47.67,11.90,20181,78.20,17.50,51.30,18.70,Donald Trump
"Lee County, Alabama",164542,608,270.83,32.50,23506,70.60,22.00,50.80,11.90,Donald Trump
"Limestone County, Alabama",98915,560,176.65,22.70,25020,81.20,14.70,49.90,15.20,Donald Trump
"Lowndes County, Alabama",9726,716,13.59,14.40,18368,25.90,26.70,53.20,18.80,Joe Biden
"Macon County, Alabama",18068,609,29.67,19.60,16826,17.00,27.30,54.50,20.40,Joe Biden
"Madison County, Alabama",372909,802,465.21,38.50,31933,68.80,12.80,51.10,15.00,Donald Trump
"Marengo County, Alabama",18863,977,19.31,17.40,22072,46.90,24.00,53.10,19.60,Joe Biden
"Marion County, Alabama",29709,742,40.02,9.50,19576,94.00,20.90,50.70,21.20,Donald Trump
"Marshall County, Alabama",96774,566,171.03,15.20,20382,93.00,19.50,50.60,17.00,Donald Trump
"Mobile County, Alabama",413210,1229,336.10,20.70,22501,59.20,19.80,52.40,16.20,Donald Trump
"Monroe County, Alabama",20733,1026,20.21,10.60,15749,55.10,28.60,52.50,20.30,Donald Trump
"Montgomery County, Alabama",226486,784,288.79,31.50,24975,35.90,21.20,52.80,15.10,Joe Biden
"Morgan County, Alabama",119679,579,206.58,19.90,23764,82.80,15.70,50.70,17.50,Donald Trump
"Perry County, Alabama",8923,720,12.40,10.40,13716,30.50,25.60,53.20,19.40,Joe Biden
"Pickens County, Alabama",19930,881,22.61,11.00,17153,57.80,27.20,50.10,19.00,Donald Trump
"Pike County, Alabama",33114,672,49.27,23.00,19715,57.50,27.60,51.70,15.00,Donald Trump
"Randolph County, Alabama",22722,581,39.14,11.10,19830,77.80,24.50,51.30,20.40,Donald Trump
"Russell County, Alabama",57961,641,90.40,16.00,19678,50.00,22.00,52.00,14.30,Joe Biden
"Shelby County, Alabama",89512,632,141.66,40.30,33313,82.80,7.90,51.70,15.30,Donald Trump
"St. Clair County, Alabama",217702,785,277.35,15.50,23872,87.80,15.20,50.40,16.60,Donald Trump
"Sumter County, Alabama",12427,904,13.75,14.90,14156,25.30,38.00,54.30,18.00,Joe Biden
"Talladega County, Alabama",79978,737,108.55,13.00,19410,64.30,22.90,51.70,18.00,Donald Trump
"Tallapoosa County, Alabama",40367,717,56.34,16.30,21434,70.40,19.80,51.50,21.60,Donald Trump
"Tuscaloosa County, Alabama",209355,1322,158.39,27.00,22637,64.60,18.90,51.90,13.30,Donald Trump
"Walker County, Alabama",63521,791,80.29,10.50,20698,91.00,20.90,51.30,19.30,Donald Trump
"Washington County, Alabama",16326,1080,15.11,9.50,20395,66.20,18.40,50.80,19.10,Donald Trump
"Wilcox County, Alabama",10373,889,11.67,11.10,13379,27.40,39.20,52.40,19.40,Joe Biden
"Winston County, Alabama",23629,613,38.55,10.40,18995,96.20,24.00,50.70,21.60,Donald Trump
"Apache County, Arizona",71887,11218,6.41,10.40,12709,22.40,36.20,50.80,15.30,Joe Biden
"Cochise County, Arizona",125922,6219,20.25,22.50,23608,87.70,17.10,49.20,22.30,Donald Trump
"Coconino County, Arizona",143476,18661,7.69,31.10,23382,65.70,23.00,50.60,12.50,Joe Biden
"Gila County, Arizona",54018,4796,11.26,16.10,20792,78.50,21.60,50.60,28.80,Donald Trump
"Graham County, Arizona",38837,4641,8.37,12.30,17168,81.70,22.30,46.70,13.90,Donald Trump
"Greenlee County, Arizona",9498,1848,5.14,11.10,20516,90.20,16.00,48.60,13.20,Donald Trump
"La Paz County, Arizona",21108,4513,4.68,9.30,22200,76.50,19.40,48.70,39.30,Donald Trump
"Maricopa County, Arizona",4485414,9224,486.28,29.80,27256,83.10,16.70,50.50,15.20,Joe Biden
"Mohave County, Arizona",212181,13470,15.75,11.90,20833,91.80,19.40,49.40,30.30,Donald Trump
"Navajo County, Arizona",110924,9959,11.14,14.90,16626,50.40,30.30,49.90,18.10,Donald Trump
"Pima County, Arizona",1047279,9189,113.97,29.80,25269,84.90,19.20,50.80,19.80,Joe Biden
"Pinal County, Arizona",462789,5374,86.12,18.00,20910,82.80,15.60,47.90,20.40,Donald Trump
"Santa Cruz County, Arizona",46498,1238,37.56,19.80,17664,95.70,26.30,51.70,18.10,Joe Biden
"Yavapai County, Arizona",235099,8128,28.92,24.20,25186,93.40,15.80,51.20,31.60,Donald Trump
"Yuma County, Arizona",213787,5519,38.74,14.30,18840,91.20,20.20,48.50,18.80,Donald Trump
"Arkansas County, Arkansas",17486,1034,16.91,12.40,23045,72.10,15.80,51.60,19.60,Donald Trump
"Ashley County, Arkansas",19657,939,20.93,12.20,19761,72.60,18.90,51.30,20.40,Donald Trump
"Baxter County, Arkansas",41932,587,71.47,16.50,21334,96.60,15.50,51.70,30.90,Donald Trump
"Benton County, Arkansas",279141,885,315.46,28.70,26715,88.70,12.20,50.30,13.40,Donald Trump
"Boone County, Arkansas",37432,602,62.20,15.40,22160,95.90,16.60,50.80,20.70,Donald Trump
"Bradley County, Arkansas",10763,654,16.45,10.80,19386,68.70,31.30,51.30,19.00,Donald Trump
"Calhoun County, Arkansas",5189,633,8.20,7.40,17763,75.70,14.90,49.60,21.50,Donald Trump
"Carroll County, Arkansas",28380,639,44.43,17.30,20637,93.10,18.80,50.20,23.20,Donald Trump
"Chicot County, Arkansas",10118,691,14.65,12.60,16538,43.30,33.00,49.50,20.30,Joe Biden
"Clark County, Arkansas",22320,883,25.29,21.40,17960,72.60,24.30,52.60,16.70,Donald Trump
"Clay County, Arkansas",14551,641,22.69,9.50,18509,97.10,20.20,51.10,21.40,Donald Trump
"Cleburne County, Arkansas",24919,592,42.10,16.80,23044,96.70,15.80,50.80,26.80,Donald Trump
"Cleveland County, Arkansas",7956,599,13.29,13.80,20622,86.20,17.70,50.40,21.00,Donald Trump
"Columbia County, Arkansas",23457,767,30.59,20.30,19439,61.10,25.40,51.80,17.40,Donald Trump
"Conway County, Arkansas",20846,567,36.79,14.70,20040,84.80,24.00,50.90,19.60,Donald Trump
"Craighead County, Arkansas",110332,713,154.75,24.40,23138,80.10,20.60,51.40,13.80,Donald Trump
"Crawford County, Arkansas",63257,604,104.70,14.30,19477,90.90,20.20,50.70,16.60,Donald Trump
"Crittenden County, Arkansas",47955,637,75.31,13.90,19665,43.50,26.30,52.40,14.10,Joe Biden
"Cross County, Arkansas",16419,622,26.38,11.40,18701,74.40,17.40,51.80,18.80,Donald Trump
"Dallas County, Arkansas",7009,668,10.49,10.20,16838,56.00,19.70,50.60,23.20,Donald Trump
"Desha County, Arkansas",11361,820,13.86,12.70,19822,49.30,30.10,52.80,19.00,Joe Biden
"Drew County, Arkansas",18219,836,21.80,19.10,17057,69.50,28.50,51.10,17.50,Donald Trump
"Faulkner County, Arkansas",126007,664,189.77,27.20,24401,83.60,14.60,51.10,12.50,Donald Trump
"Franklin County, Arkansas",17715,620,28.59,12.40,19135,94.50,20.50,50.00,19.30,Donald Trump
"Fulton County, Arkansas",12477,620,20.11,10.00,19326,96.40,18.70,50.90,26.30,Donald Trump
"Garland County, Arkansas",99386,735,135.30,20.90,23170,87.00,20.70,51.90,23.80,Donald Trump
"Grant County, Arkansas",18265,633,28.85,17.60,23239,94.70,9.90,50.60,18.00,Donald Trump
"Greene County, Arkansas",45325,580,78.19,14.70,19652,95.20,17.10,50.80,16.00,Donald Trump
"Hempstead County, Arkansas",21532,741,29.04,14.10,17376,66.10,27.40,51.80,18.00,Donald Trump
"Hot Spring County, Arkansas",33771,622,54.28,12.30,19286,85.50,14.20,47.60,18.90,Donald Trump
"Howard County, Arkansas",13202,595,22.18,12.00,18707,74.90,23.20,51.90,17.90,Donald Trump
"Independence County, Arkansas",37825,772,49.02,14.40,20289,94.10,23.70,51.20,17.50,Donald Trump
"Izard County, Arkansas",13629,584,23.34,11.70,18040,95.00,18.70,48.10,25.80,Donald Trump
"Jackson County, Arkansas",16719,641,26.06,8.80,15609,79.00,28.40,50.30,18.10,Donald Trump
"Jefferson County, Arkansas",66824,914,73.14,17.50,19353,40.10,23.90,50.60,17.30,Joe Biden
